disease	summary	symptom
Broken bone	"<p>If more pressure is put on a bone than it can stand, it will split or break. A break of any size is called a fracture. If the broken bone punctures the skin, it is called an open fracture (compound fracture).</p><p>A stress fracture is a hairline crack in the bone that develops because of repeated or prolonged forces against the bone.</p></div>"	</div></div><div class="section-body" id="section-3"><p>Symptoms of a broken bone include:</p><ul><li>A visibly out-of-place or misshapen limb or joint</li><li>Swelling, bruising, or bleeding</li><li>Intense pain</li><li>Numbness and tingling</li><li>Broken skin with bone protruding</li><li>Limited mobility or inability to move a limb </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>First Aid</h2></div><div class="section-button"><button type="submit" aria-controls="section-4" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Breathing difficulties - first aid	"<p>Most people take breathing for granted. People with certain illnesses may have breathing problems that they deal with on a regular basis. </p><p>This article discusses first aid for someone who is having unexpected breathing problems.</p><p>Breathing difficulties can range from: </p><ul><li>Being short of breath</li><li>Being unable to take a deep breath and gasping for air</li><li>Feeling like you are not getting enough air </li></ul></div>"	</div></div><div class="section-body" id="section-3"><p>A person who is having a hard time breathing difficulty will often look uncomfortable. They may be:</p><ul><li>Breathing rapidly</li><li>Unable to breathe lying down and need to sit up to breathe</li><li>Very anxious and agitated </li><li>Sleepy or <a test="test" href="./003205.htm">confused</a></li></ul><p>They might have other symptoms, including:</p><ul><li>Dizziness</li><li>Pain</li><li>Fever</li><li><a test="test" href="./003072.htm">Cough</a></li><li>Nausea</li><li>Vomiting</li><li><a test="test" href="./003215.htm">Bluish lips, fingers, and fingernails</a></li><li>Chest moving in an unusual way</li><li>Gurgling, <a test="test" href="./003070.htm">wheezing</a>, or whistling sounds</li><li>Muffled voice or difficulty speaking</li><li>Coughing up blood</li><li>Rapid or irregular heartbeat</li><li>Sweating </li></ul><p>If an allergy is causing the breathing problem, they might have a rash or swelling of the face, tongue, or throat. </p><p>If an injury is causing breathing difficulty, they might be bleeding or have a visible wound. </p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>First Aid</h2></div><div class="section-button"><button type="submit" aria-controls="section-4" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Burns	"<p>Burns commonly occur by direct or indirect contact with heat, electric current, radiation, or chemical agents. Burns can lead to cell death.</p></div>"	</div></div><div class="section-body" id="section-3"><p>Burn symptoms can include:</p><ul><li><a test="test" href="./003939.htm">Blisters</a> that are either intact (unbroken) or have ruptured and are leaking fluid</li><li>Pain (How much pain you have is unrelated to the level of burn. The most serious burns can be painless.)</li><li>Peeling skin</li><li><a test="test" href="./000039.htm">Shock</a> (Watch for pale and clammy skin, weakness, blue lips and fingernails, and a drop in alertness.)</li><li>Swelling</li><li>Red, white, or charred skin </li></ul><p>If you have burned your airways, you may have:</p><ul><li>Burns on the head, face, neck, eyebrows, or nose hairs</li><li>Burned lips and mouth</li><li>Coughing</li><li><a test="test" href="./003075.htm">Difficulty breathing</a></li><li>Dark, black-stained mucus</li><li>Voice changes</li><li><a test="test" href="./003070.htm">Wheezing</a></li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>First Aid</h2></div><div class="section-button"><button type="submit" aria-controls="section-4" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Bleeding	"<p>Bleeding is the loss of blood. Bleeding may be:</p><ul><li>Inside the body (internally) </li><li>Outside the body (externally)</li></ul><p>Bleeding may occur:</p><ul><li>Inside the body when blood leaks from blood vessels or organs</li><li>Outside the body when blood flows through a natural opening (such as the <a test="test" href="./002342.htm">vagina</a>, mouth, or rectum)</li><li>Outside the body when blood moves through a break in the skin</li></ul></div>"	</div></div><div class="section-body" id="section-3"><p>You may have symptoms such as:</p><ul><li>Blood coming from an <a test="test" href="./000043.htm">open wound</a></li><li><a test="test" href="./003235.htm">Bruising</a></li></ul><p>Bleeding can also cause shock, which may include any of the following symptoms:</p><ul><li><a test="test" href="./003205.htm">Confusion</a> or decreasing alertness</li><li><a test="test" href="./003216.htm">Clammy skin</a></li><li><a test="test" href="./003093.htm">Dizziness</a> or <a test="test" href="./003092.htm">light-headedness</a> after an injury</li><li>Low blood pressure</li><li><a test="test" href="./003244.htm">Paleness</a> (pallor)</li><li><a test="test" href="./003077.htm">Rapid pulse</a></li><li>Increased heart rate</li><li>Shortness of breath</li><li><a test="test" href="./003174.htm">Weakness</a></li></ul><p>Symptoms of internal bleeding may include:</p><ul><li><a test="test" href="./003120.htm">Abdominal pain</a> and swelling</li><li>Chest pain</li><li>Skin color changes that occur several days after an injury (skin color may be black, blue, purple, yellowish green) </li></ul><p>Blood coming from a natural opening in the body may also be a sign of internal bleeding. These symptoms include:</p><ul><li><a test="test" href="./003130.htm">Blood in the stool</a> (appears black, maroon, or bright red)</li><li><a test="test" href="./003138.htm">Blood in the urine</a> (appears red, pink, or tea-colored)</li><li><a test="test" href="./003118.htm">Blood in the vomit</a> (looks bright red, or brown like coffee-grounds)</li><li><a test="test" href="./003156.htm">Vaginal bleeding</a> (heavier than usual or after menopause)</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>First Aid</h2></div><div class="section-button"><button type="submit" aria-controls="section-4" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Blockage of upper airway	"<p>Blockage of the upper airway occurs when the upper breathing passages become narrowed or blocked, making it hard to breathe. Areas in the upper airway that can be affected are the windpipe (trachea), voice box (larynx) or throat (pharynx).</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms vary, depending on the cause. But some symptoms are common to all types of airway blockage. These include:</p><ul><li><a test="test" href="./003212.htm">Agitation</a> or fidgeting</li><li>Bluish color to the skin (<a test="test" href="./003215.htm">cyanosis</a>)</li><li><a test="test" href="./003202.htm">Changes in consciousness</a></li><li><a test="test" href="./000047.htm">Choking</a></li><li>Confusion</li><li><a test="test" href="./003075.htm">Difficulty breathing</a></li><li>Gasping for air</li><li>Panic</li><li><a test="test" href="./000022.htm">Unconsciousness</a></li><li><a test="test" href="./003070.htm">Wheezing</a>, crowing, whistling, or other unusual breathing noises indicating breathing difficulty</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Blastomycosis	"<p>Blastomycosis is an infection caused by breathing in the <em>Blastomyces dermatitidis</em> fungus. The fungus is found in decaying wood and soil.</p></div>"	</div></div><div class="section-body" id="section-2"><p>You may not have any symptoms if the infection remains in the lungs. The following symptoms can develop if the infection spreads to other parts of the body:</p><p>Lung infection may not cause any symptoms. Symptoms may be seen if the infection spreads. Symptoms may include:</p><ul><li>Bone and joint pain</li><li><a test="test" href="./003079.htm">Chest pain</a></li><li><a test="test" href="./003072.htm">Cough</a> (may produce brown or bloody mucus)</li><li>Fatigue</li><li><a test="test" href="./003090.htm">Fever</a> and night sweats</li><li>General discomfort, uneasiness, or ill feeling (<a test="test" href="./003089.htm">malaise</a>)</li><li>Muscle pain</li><li><a test="test" href="./003107.htm">Unintentional weight loss</a></li></ul><p>Most people develop skin symptoms when the infection spreads. You may get papules, pustules, or nodules on exposed body areas.</p><p>The pustules:</p><ul><li>May look like warts or ulcers</li><li>Are usually painless</li><li>Vary in color from gray to violet</li><li>May appear in the nose and mouth</li><li>Bleed easily and form ulcers </li></ul><p>Over time, these skin sores can lead to scarring and loss of skin color (pigment).</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Bronchiectasis	"<p>Bronchiectasis is a disease in which the large airways in the lungs are damaged. As a result of this damage, the airways become wider.</p><ul><li>If the condition is present at birth, it is called congenital bronchiectasis.</li><li>If it develops later in life, it is called acquired bronchiectasis.</li></ul></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms develop over time. They may occur months or years after the event that causes the bronchiectasis.</p><p>Symptoms may include:</p><ul><li><a test="test" href="./003215.htm">Bluish skin color</a></li><li><a test="test" href="./003058.htm">Breath odor</a></li><li>Chronic <a test="test" href="./003072.htm">cough</a> with large amounts of foul-smelling sputum</li><li><a test="test" href="./003282.htm">Clubbing</a> of fingers</li><li><a test="test" href="./003073.htm">Coughing up blood</a></li><li>Cough that gets worse when lying on one side</li><li><a test="test" href="./003088.htm">Fatigue</a></li><li><a test="test" href="./003244.htm">Paleness</a></li><li><a test="test" href="./003075.htm">Shortness of breath</a> that gets worse with exercise</li><li><a test="test" href="./003107.htm">Weight loss</a></li><li><a test="test" href="./003070.htm">Wheezing</a></li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Bacterial gastroenteritis	"<p>Bacterial gastroenteritis is present when bacteria cause an infection of the stomach and intestines </p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms depend on the type of bacteria that caused the sickness. All types of food poisoning cause <a test="test" href="./003126.htm">diarrhea</a>. Other symptoms include:</p><ul><li><a test="test" href="./003120.htm">Abdominal cramps</a></li><li><a test="test" href="./003120.htm">Abdominal pain</a></li><li><a test="test" href="./003130.htm">Bloody stools</a></li><li><a test="test" href="./003121.htm">Loss of appetite</a></li><li><a test="test" href="./003117.htm">Nausea</a> and vomiting</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Bile duct obstruction	"<p>Bile duct obstruction is a blockage in the tubes that carry bile from the liver to the gallbladder and small intestine.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms may include:</p><ul><li><a test="test" href="./003120.htm">Abdominal pain</a> in the upper right side</li><li><a test="test" href="./003138.htm">Dark urine</a></li><li><a test="test" href="./003090.htm">Fever</a></li><li><a test="test" href="./003217.htm">Itching</a></li><li>Jaundice (yellow skin color)</li><li>Nausea and vomiting</li><li><a test="test" href="./003129.htm">Pale-colored stools</a></li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Bleeding esophageal varices	"<p>The esophagus is the tube that connects your throat to your stomach. Varices are enlarged veins that may be found in the esophagus. These veins may break open and bleed.</p></div>"	</div></div><div class="section-body" id="section-2"><p>People with chronic liver disease and esophageal varices may have no symptoms.</p><p>If there is only a small amount of bleeding, the only symptom may be dark or black streaks in the stools.</p><p>If larger amounts of bleeding occur, symptoms may include:</p><ul><li>Black, tarry stools</li><li>Bloody stools</li><li><a test="test" href="./003093.htm">Lightheadedness</a></li><li>Paleness</li><li>Symptoms of chronic liver disease </li><li><a test="test" href="./003117.htm">Vomiting</a></li><li><a test="test" href="./003118.htm">Vomiting blood</a></li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
